"Easy Tabs","Easy Tabs"
"Add New Tab","Add New Tab"
"Save Tab","Save Tab"
"Delete Tab","Delete Tab"
"Edit Tab '%1'","Edit Tab '%1'"
"New Tab","New Tab"
"Tab Information","Tab Information"
Alias,Alias
"Block Type","Block Type"
"Please select item(s).","Please select item(s)."
"Tab was deleted.","Tab was deleted."
"Can't find a tab to delete.","Can't find a tab to delete."
"Manage Tabs","Manage Tabs"
"This tab no longer exists.","This tab no longer exists."
"Edit Tab","Edit Tab"
"Manage Easy Tabs","Manage Easy Tabs"
"Tab has been saved.","Tab has been saved."
"Something went wrong while saving the tab.","Something went wrong while saving the tab."
"An error occured:","An error occured:"
"Html content","Html content"
Unset,Unset
"Custom Block","Custom Block"
"Product Description","Product Description"
"We Also Recommend","We Also Recommend"
"Product's Reviews","Product's Reviews"
"Select Block...","Select Block..."
"Delete items","Delete items"
"Enable items","Enable items"
"Disable items","Disable items"
"Replace default Magento tabs with powerful tabs from Swissup.","Replace default Magento tabs with powerful tabs from Swissup."
"Show product description in tab","Show product description in tab"
